name,link,date_added
Pullover (Puxada para cima deitado),https://www.youtube.com/watch?v=oLGc9gzk8aU,2024-08-08 17:20:56
Hammer Bicep Curls (Biceps Martelo),https://www.youtube.com/watch?v=Mlw44Z_MHqo,2024-08-08 17:20:56
KB Preacher Curl (Rosca biceps sentado com cotovelos entre joelhos),https://www.youtube.com/watch?v=LuBF-Wn2hD0,2024-08-08 17:20:56
Reverse Fly (Elevacao Lateral Curvada),https://www.youtube.com/watch?v=J2y1epbW87g,2024-08-08 17:20:56
Split Squat (Agachamento afundo),https://www.youtube.com/watch?v=aujlbb8e0hg,2024-08-08 17:20:56
Cossack Squat (Agachamento unilateral),https://www.youtube.com/watch?v=8XYQUEuirfI,2024-08-08 17:20:56
Goblet Split Squat (Afundo segurando kettlebell),https://www.youtube.com/watch?v=8KF1XEyrSfw,2024-08-08 17:20:56
Suitcase Split Squat (Afundo segurando um kettlebell ao lado),https://www.youtube.com/watch?v=iHnrwckbLRs,2024-08-08 17:20:56
Farmer Split Squat (Afundo segurando dois kettlebells ao lado),https://www.youtube.com/watch?v=2jHz4F_IBsg,2024-08-08 17:20:56
Alt  Goblet Reverse Lunge (Passada reversa alternada segurando kettlebell),https://www.youtube.com/watch?v=9zimwUDppCw,2024-08-08 17:20:56
Push Up (Flexao de Braco),https://www.youtube.com/watch?v=sobajm4WEvE,2024-08-08 17:20:56
Reverse Lunge to Step Up (Passada reversa e subida na caixa),https://www.youtube.com/watch?v=vhSGqfxVbes,2024-08-08 17:20:56
Front Rack Walking Lunges (Caminhada em passadas com peso no rack frontal),https://www.youtube.com/watch?v=AEwhCQsU6G0,2024-08-08 17:20:56
Over Head Lunges (Passadas com peso sobre a cabeca),https://www.youtube.com/watch?v=W7o8LaNYFDU,2024-08-08 17:20:56
Contralateral Kettlebell Overhead Split Squat (Agachamento afundo com Kettlebell sob a cabeca),https://www.youtube.com/watch?v=9DBYSngZHG4,2024-08-08 17:20:56
Single Arm Rack Tall Kneeling to Standing (Subida de joelhos para posicao em pe com Kettlebell),https://www.youtube.com/watch?v=E4AFBicMw4Y,2024-08-08 17:20:56
Air Squat (Agachamento Livre),https://www.youtube.com/watch?v=WHXPAkDqXUg,2024-08-08 17:20:56
Goblet Squat (Agachamento segurando kettlebell),https://www.youtube.com/watch?v=HOZYjTHE7ug,2024-08-08 17:20:56
Theraband Half Squat Pulses (Semi agachamentos com Miniband),https://www.youtube.com/watch?v=N73x5LjF0vM,2024-08-08 17:20:56
Goblet Squat to Bicep Curl (Agachamento com rosca biceps com Kettlebell),https://www.youtube.com/watch?v=vwA0yYPC17M,2024-08-08 17:20:56
Goblet Wall Sit (Agachamento em isometria na parede segurando kettlebell),https://www.youtube.com/watch?v=aVpTLfCYB-8,2024-08-08 17:20:56
Pause Kettlebell Sumo Jump Squats (Agachamento sumo com saltos com pausa segurando Kettlebell),https://www.youtube.com/watch?v=exICuBvjzZI,2024-08-08 17:20:56
Dual DB Front Squat (Agachamento frontal com dois halteres),https://www.youtube.com/watch?v=ph3O1pkYKX4,2024-08-08 17:20:56
Front Squat (Agachamento com barra a frente),https://www.youtube.com/watch?v=a-0VQxsbmHI,2024-08-08 17:20:56
Back Squat (Agachamento com a barra nas costas),https://www.youtube.com/watch?v=lmsAEw6H2LI,2024-08-08 17:20:56
Calf Raises (Elevacao de calcanhares),https://www.youtube.com/watch?v=pJuG3_5jPn0,2024-08-08 17:20:56
Alt  Dual Ktb Forward Lunges (Avancos alternados com dois kettlebells nos ombros),https://www.youtube.com/watch?v=UrZOaW-HDeg,2024-08-08 17:20:56
Explosive Push Up (Flexao de braco explosiva),https://www.youtube.com/watch?v=u5j9ypmXoIA,2024-08-08 17:20:56
1-1/2 Push Ups (1 Rep +1/2 Flexao de Braco),https://www.youtube.com/watch?v=sZJ33E-xI88,2024-08-08 17:20:56
Alt  DB Bench Press (Supino reto alternado com halteres),https://www.youtube.com/watch?v=HmoR57GFXvo,2024-08-08 17:20:56
